"tree_ID";"bloc";"treatment";"genus";"species";"year";"height";"diameter";"notes"
"Pist_WarmS/CoolF_B2_R8";2;"WarmS/CoolF";"pinus";"pinus_strobus";2023;17,9;4,94;NA
"Pist_WarmS/CoolF_B2_R9";2;"WarmS/CoolF";"pinus";"pinus_strobus";2023;30;6,05;NA
"Pist_WarmS/CoolF_B2_R10";2;"WarmS/CoolF";"pinus";"pinus_strobus";2023;24,1;5,33;NA
"Pist_WarmS/CoolF_B3_R11";3;"WarmS/CoolF";"pinus";"pinus_strobus";2023;17;6,23;NA
"Pist_WarmS/CoolF_B3_R12";3;"WarmS/CoolF";"pinus";"pinus_strobus";2023;25,3;5,98;NA
"Pist_WarmS/CoolF_B3_R13";3;"WarmS/CoolF";"pinus";"pinus_strobus";2023;17;4,3;NA
"Pist_WarmS/CoolF_B3_R14";3;"WarmS/CoolF";"pinus";"pinus_strobus";2023;28;6,17;NA
"Pist_WarmS/CoolF_B3_R15";3;"WarmS/CoolF";"pinus";"pinus_strobus";2023;23,9;6,04;NA
"Pist_CoolS/WarmF_B1_R1";1;"CoolS/WarmF";"pinus";"pinus_strobus";2023;26,5;5,74;NA
"Pist_CoolS/WarmF_B1_R2";1;"CoolS/WarmF";"pinus";"pinus_strobus";2023;26,2;5,05;NA
"Pist_CoolS/WarmF_B1_R3";1;"CoolS/WarmF";"pinus";"pinus_strobus";2023;21,4;4,99;NA
"Pist_CoolS/WarmF_B1_R4";1;"CoolS/WarmF";"pinus";"pinus_strobus";2023;20,4;5,34;NA
"Pist_CoolS/WarmF_B1_R5";1;"CoolS/WarmF";"pinus";"pinus_strobus";2023;21,8;4,61;NA
"Pist_CoolS/WarmF_B2_R6";2;"CoolS/WarmF";"pinus";"pinus_strobus";2023;19,4;5,69;NA
"Pist_CoolS/WarmF_B2_R7";2;"CoolS/WarmF";"pinus";"pinus_strobus";2023;24,4;5,8;NA
